"id";"text";"is_labelled"
"657164554409918465";"""Cecak nguntal cagak."" Arti: Keinginan yang tidak seimbang dengan kemampuan. #pepatahjawa";"0"
"657694254815252480";"""Cincing-cincing mekso klebus."" Arti: Maunya irit tapi malah boros. #pepatahjawa";"0"
"658614099274690560";"""Ciri wanci lelai ginawa mati."" Arti: Kebiasaan buruk yang susah diubah. #pepatahjawa";"0"
"666957150086963200";"""CLASSIC CARNIVAL"" !
HMD UNS Presents
Friday, Nov 20th 2015 at Taman Balaikambang Solo!
With Special… https://t.co/nHoBXqWMH7";"0"
"653404789863268353";"""Coming together is a beginning. Keeping together is progress. Working together is success."" - Henry Ford // Have a great Monday :D";"0"
"662105832579080192";"""Continuous effort, not strength or intelligence is the key to unlocking our potential."" - Liane Cardes // Pagi eventholic :D";"0"
"652620822394212352";"""Crah agawe bubrah."" Arti: Bercerai kita runtuh. #pepatahjawa";"0"
"667583221995995136";"""Criwis cawis"". Arti: Orang yang mengkritik harus menyediakan solusi. #pepatahjawa";"0"
"652483151898415106";"""DA'I COMPETITION 2015"" u/  SMA/SMK/MA sederajat | Reg s/d 15 Okt'15 | CP: 0822 5726 6284 (Menik) @ukmkiuntagsby http://t.co/34VVlVP9yr";"0"
"652736571645399041";"""DA'I COMPETITION 2015"" u/  SMA/SMK/MA sederajat | Reg s/d 15 Okt'15 | Info: 0822 5726 6284 (Menik) @ukmkiuntagsby http://t.co/34VVlVP9yr";"0"
"655714973805494273";"""Datan Serik Lamun Ketaman, Datan Susah Lamun Kelangan."" #pepatahjawa";"0"
"673297068107038721";"""Demi Kelancaran Lalu Lintas Jangan Berhenti di Jalur Belok Kiri"". #SoloTertibLalin https://t.co/HTZxXDUV5a";"0"
"667326512291418112";"""Desa mawa cara negara mawa tata."" Setiap tempat memiliki aturan dan adat istiadat masing-masing. #pepatahjawa";"0"
"653080105644720128";"""Dhadhap ketuwuhan cangkring."" Sekumpulan orang baik yg disusupi orang yg buruk sifatnya. #pepatahjawa";"0"
"658533546651353088";"""Dhemit ora ndulit, setan ora doyan."" Arti: Lepas dari mara bahaya. #pepatahjawa";"0"
"653804891631054848";"""Dhuwur wekasane, endhek wiwitane"". Arti: Akhirnya mulia, yang semula sederhana. #pepatahjawa";"0"
"670239931218812929";"""Di Ambang Rasa"" komposer: Asep Saepul Haris. Masih di #Event Bukan Musik Biasa #BMB49 #EventSolo https://t.co/8P6Gy67q5O";"0"
"664231100915449857";"""Dijupuk iwake aja nganti buthek banyune."" #pepatahjawa";"0"
"663959297370357761";"""Diobong gak kobong, disiram gak teles."" Sakti, ditekan, dihina, disia siakan tetapi tetap sukses. #pepatahjawa";"0"
"665771289521446912";"""Diwehi ati ngrogoh rempela."" Arti: Diberi kebaikan, menuntut pemberian lebih. #pepatahjawa";"0"
"668625081833271296";"""Do not look for happiness outside yourself. The awakened seek happiness inside."" - Peter Deunov // Have a great Monday Eventholic :D";"0"
"667537909365514240";"""Do not look for happiness outside yourself. The awakened seek happiness inside."" - Peter Deunov // TGIF Eventholic :D";"0"
"660969604785659904";"""Durung cundhuk, acandhak."" Orang yg memberi komentar tanpa mengetahui duduk masalah yg sebenarnya. #pepatahjawa";"0"
"650150133204520960";"""Duta Tv Goes To School""
mulai Tanggal 3 Okt 2015 in SMK 1 NEGERI BANJARMASIN
Live Report
Mana nih… https://t.co/TnPIrmgDIc";"0"
"654491938184425472";"""Each morning we are born again. What we do today is what matters most."" - Buddha // Pagi Eventholic :D";"0"
"654854363236691968";"""Educating the mind without educating the heart is no education at all."" - Aristotle // TGIF eventholic";"0"
"668587297588166656";"""Emban cindhe emban siladan"". Arti: Orang yang pilih kasih dalam memberi. #pepatahjawa";"0"
"654270454287372288";"""Embat-embat celarat."" Arti: Bekerja dengan cermat dan hati-hati. #pepatahjawa";"0"
"655216710929223680";"""Enlightenment must come little by little - otherwise it would overwhelm."" - Idries Shah // Pagi eventholic :D";"0"
"664593477469085696";"""Esok dhele sore tempe."" Arti: Orang yang tak punya pendirian. #pepatahjawa";"0"
"657028662647214080";"""Everything that happens to us is a reflection of who we are."" - Deepak Chopra // Morning Eventholic :D";"0"
"665497844258750464";"""EXPLORE SEMARANG""

Sudah tinggal di semarang berapa lama? Atau baru menginjakkan kaki di kota… https://t.co/V2zW0eVFji";"0"
"666166665441185792";"""EXPLORE SEMARANG""

Sudah tinggal di semarang berapa lama? Atau baru menginjakkan kaki di kota… https://t.co/ymecHukkM4";"0"
"640812363046739968";"""FIVE STAR"" BOSHE 5th ANNIVERSARY w/ @NOAH_ID Present by @GGround_ID On September 18th 2015 @event_bali 
Ticket @150K http://t.co/JEEkzKVWAA";"0"
"655353834814894080";"""Galuga sinalusur sari."" Arti: Orang yang baik rupa, tutur kata, dan budi pekertinya. #pepatahjawa";"0"
"652717713832329216";"""Gawe cao nangka sabrang, kurang sirup luwih banyu. Aja awatak gumampang, den sengkud nggregut sinau."" #parikan";"0"
"654990214494973952";"""Gelem jamure emoh watange."" Arti: Orang yang hanya mau enaknya saja. #pepatahjawa";"0"
